date,England.lower,England.upper
2020-05-29,0.7,0.9
2020-06-05,0.7,1
2020-06-12,0.8,1
2020-06-19,0.7,0.9
2020-06-26,0.7,0.9
2020-07-03,0.8,0.9
2020-07-10,0.8,1
2020-07-17,0.8,1
2020-07-24,0.8,1
2020-07-31,0.8,1
2020-08-07,0.8,1
2020-08-14,0.8,1
2020-08-21,0.9,1
2020-08-28,0.9,1.1
2020-09-04,0.9,1
2020-09-11,1,1.2
2020-09-18,1.2,1.4
2020-09-25,1.2,1.5
2020-10-02,1.2,1.6
2020-10-09,1.2,1.5
2020-10-16,1.2,1.4
2020-10-23,1.2,1.4
2020-10-30,1.1,1.3
2020-11-06,1.1,1.3
2020-11-13,1.1,1.2
2020-11-20,1,1.1
2020-11-27,0.9,1
2020-12-04,0.8,1
2020-12-11,0.8,1
2020-12-18,1.1,1.3
2020-12-23,1.1,1.4
2021-01-08,1.1,1.4
2021-01-15,1.1,1.3
2021-01-22,0.8,1
2021-01-29,0.7,1
2021-02-05,0.7,0.9
2021-02-12,0.7,0.9
2021-02-19,0.7,0.9
2021-02-26,0.7,0.9
2021-03-05,0.7,0.9
2021-03-12,0.6,0.8
2021-03-19,0.7,0.9
2021-03-26,0.8,1
2021-04-02,0.8,1
2021-04-09,0.8,1
2021-04-16,0.7,1
2021-04-23,0.8,1
2021-04-30,0.8,1.1
2021-05-07,0.8,1
2021-05-14,0.8,1.1
2021-05-21,0.9,1.1
2021-05-28,1,1.1
2021-06-04,1,1.2
2021-06-11,1.2,1.4
2021-06-18,1.2,1.4
2021-06-25,1.2,1.4
2021-07-02,1.1,1.3
2021-07-09,1.2,1.5
2021-07-16,1.2,1.4
2021-07-23,1.2,1.4
2021-07-30,1.1,1.4
2021-08-06,0.8,1.1
2021-08-13,0.8,1
2021-08-20,0.9,1.2
2021-08-27,1,1.1
2021-09-03,0.9,1.1
2021-09-10,0.9,1.1
2021-09-17,0.9,1
2021-09-24,0.8,1
2021-10-01,0.8,1.1
2021-10-08,0.9,1.1
2021-10-15,0.9,1.1
2021-10-22,1,1.2
2021-10-29,1.1,1.3
2021-11-05,0.9,1.1
2021-11-12,0.8,1
2021-11-19,0.8,1
2021-11-26,1,1.1
2021-12-03,0.9,1.1
2021-12-10,0.9,1.1
2021-12-17,1,1.2
2021-12-23,1,1.2
2022-01-07,1.2,1.5
2022-01-14,1.1,1.5
2022-01-21,0.8,1.1
2022-01-28,0.7,0.9
2022-02-04,0.8,1.1
2022-02-11,0.8,1
2022-02-18,0.8,1
2022-02-25,0.7,1
2022-03-04,0.8,1
2022-03-11,0.8,1.1
2022-03-18,1.1,1.4
2022-03-25,1.1,1.4
2022-04-01,1.1,1.2
2022-04-14,0.9,1.1
2022-04-29,0.7,0.9
2022-05-13,0.7,0.9
2022-05-27,0.7,0.9
2022-06-24,1.1,1.4
2022-07-06,1.1,1.3
2022-07-20,0.9,1.2
2022-08-03,0.8,1
2022-08-17,0.7,0.9
2022-08-31,0.8,1
2022-09-14,0.8,1
2022-09-28,1,1.3
2022-10-12,1.1,1.3
2022-10-26,0.8,1.1
2022-11-09,0.7,0.9
2022-11-23,0.8,1
2022-12-07,0.9,1.2
2022-12-21,1,1.2